TradingDate,AAA,ACB,AGG,ANV,ASM,BCG,BCM,BID,BMP,BVH,BWE,CII,CMG,CRE,CTD,CTG,CTR,DBC,DCM,DGC,DGW,DHC,DIG,DPM,DXG,DXS,EIB,FPT,FRT,FTS,GAS,GEG,GEX,GMD,GVR,HCM,HDB,HDC,HDG,HHV,HPG,HSG,HT1,IMP,KBC,KDC,KDH,KOS,LPB,MBB,MSB,MSN,MWG,NKG,NLG,NT2,NVL,OCB,PAN,PC1,PDR,PHR,PLX,PNJ,POW,PPC,PTB,PVD,PVT,REE,SAB,SAM,SBT,SCR,SCS,SHB,SJS,SSB,SSI,STB,SZC,TCB,TCH,TMS,TPB,VCB,VCG,VCI,VHC,VHM,VIB,VIC,VIX,VJC,VND,VNM,VPB,VPI,VRE,VSH
8/26/2021,15152,17934,32926,27156,9804,10893,43129,27108,40218,47490,33344,16282,26136,17351,47807,27254,62000,26922,20787,46021,46587,62068,26681,26994,17208,17784,17126,63391,22639,26556,67565,14997,20436,48243,33428,26325,17721,37954,28920,16600,32818,30036,17243,62959,27900,57961,31530,28300,13896,19432,16508,110670,52975,29039,35844,15218,79165,15134,27600,20070,55352,41234,44183,61110,11164,17075,62772,13484,18565,39153,68483,8750,18350,9677,65487,16807,65000,21629,36383,27100,28461,46841,12006,30378,16353,63454,32911,42348,34903,78549,19778,93100,10030,125800,17738,75744,20383,33643,26450,23232
8/27/2021,15770,17822,32926,28156,10457,11649,42546,27179,40143,48212,34090,16521,26501,17822,48989,27210,62700,27520,21174,46479,46208,61918,27624,27748,17825,17784,17373,63807,23441,26606,68113,15842,21332,48338,35217,26929,17490,38551,30125,17300,32749,30154,18440,67272,29550,57769,32356,28550,13315,19363,16567,112239,53792,29320,36445,16251,79241,15001,28200,21456,56346,41316,44909,60827,11705,18246,63550,13825,18997,40982,68901,8842,18393,9769,66199,16629,64100,21629,36442,27300,29551,46599,12071,30840,16305,64109,32566,43215,35743,78770,19614,94800,10717,126800,17668,75744,20517,33805,26800,23739
9/7/2021,16000,18243,32856,29155,10939,12714,46626,27881,41345,49928,33758,17718,28014,18393,51280,28520,63700,28302,21217,47684,50271,62741,27296,26654,18113,17472,18362,64847,23499,27246,69444,15397,22676,48054,36583,28338,17622,38850,29742,17800,34882,33189,18972,64978,31875,57576,33554,28800,14109,19778,17395,107201,54271,32659,38164,17085,80004,15534,29350,21330,55021,45110,45726,61110,11852,18926,63680,14015,20339,40351,68994,9394,18818,10464,64918,15854,63000,22027,35966,27900,30320,48151,12727,37481,17455,65552,33103,46467,37424,80760,19887,93900,10892,124600,18157,76434,21289,32832,27200,23359
9/8/2021,15900,18046,31910,29064,11111,12714,47306,27811,40519,48935,33717,17623,27648,18393,50319,28083,63600,28072,21217,48225,50379,62816,27542,26768,18113,17690,18009,64570,22868,27000,68739,15575,22676,47770,36724,27784,17655,38910,29359,17400,35295,34253,18972,64794,32700,57576,33059,29000,14231,19571,17070,105714,54812,33463,37821,17006,79394,15301,29000,21645,55816,44697,44728,61110,11705,18662,63291,13901,20642,40540,69551,9183,18435,10464,65487,15794,63000,21782,38460,27300,30128,47326,12465,38290,17312,65355,33103,45672,37271,79507,19914,92000,11638,124600,18331,75637,20786,33886,27100,23401
9/9/2021,16150,18215,32295,29518,11352,12817,47208,27951,40519,49567,34422,18054,28431,18595,50762,28302,63100,28302,21346,48059,51842,62965,27952,26843,18654,17503,17973,64639,23470,27936,69365,15842,23125,48621,37619,27935,17424,39149,29304,17600,35708,35396,19681,65620,32775,57383,33472,29500,14231,19640,17218,108192,58502,33503,38078,17204,78783,15301,29150,22748,54623,45192,45907,64159,11902,18888,64069,13863,21204,41612,69040,9210,18988,10418,66674,15735,62900,22027,38200,27350,30640,47811,12137,40080,18127,65093,32873,45889,38569,79360,19941,91300,11698,129000,18471,75459,21255,34089,27450,23823
9/10/2021,16300,18131,31875,29518,11248,12783,46966,27846,40519,50560,34132,17766,28483,18662,51575,28214,63100,28532,21476,48765,55255,63115,27624,26391,18228,17534,18221,64847,23413,29414,69365,15575,22811,48243,37007,27784,17094,39388,29413,17600,35432,35396,19460,64886,32250,57576,33513,30000,14109,19502,17158,107366,58502,33302,37821,17045,78859,15201,29900,22433,54557,46429,45817,66640,11902,18586,64588,13787,20901,41549,70247,9192,18605,10695,66816,15675,62100,22027,38069,27200,31345,47811,12956,40022,17935,65027,32873,46250,39715,79213,19778,91300,11698,129800,18750,76611,21657,34292,28000,23908
9/13/2021,16050,17906,31525,27520,10836,12302,47111,27495,40669,49296,33344,16952,29213,18763,50762,27821,62600,28164,21605,52174,59101,64237,26681,26843,18180,18002,18009,64501,25046,30202,69365,15664,21870,49189,35500,26828,16632,38850,28920,17300,34951,34529,19460,64703,30375,57672,34092,30150,13804,19294,17040,107862,61504,32699,37133,17006,78630,15034,28950,21992,53363,45439,45635,65222,11656,18284,63874,13901,21075,40666,74933,9579,17756,11112,66864,15437,61000,21782,37895,26900,30352,47472,13032,41813,18271,64306,32643,45961,40479,78844,19560,92000,11340,128000,18890,77231,21724,33238,27900,23654
9/14/2021,15800,17682,31034,26702,10939,12302,47111,27179,40519,48754,32680,16761,31248,20055,50245,27254,61500,28210,21734,53130,63218,64760,26025,26918,17565,17815,18079,65055,26135,29808,69679,15976,21332,48621,35782,25922,16368,38790,28208,17200,34607,34490,19105,64427,31125,57383,34092,30500,13468,19087,16803,111909,61258,32980,36187,16767,78630,14901,28500,22213,53363,44945,45454,63095,11311,17755,63485,13863,20642,40918,77021,9533,18095,10649,66864,15258,61500,21782,36939,26650,30128,47035,13183,40947,18031,64437,32566,45238,40097,78844,19287,92000,10982,125800,18541,77054,21423,32184,28300,23359
9/15/2021,16100,17513,30334,27974,11180,12783,46626,27249,40970,48844,33095,17240,31926,19731,50245,27210,61100,28947,21519,53463,63651,65358,26558,26654,17754,17815,18009,65263,26192,29907,71636,16732,21511,48621,36253,26727,16335,38551,29030,17400,35501,36855,20435,64978,31425,57479,34050,30650,13499,18983,16892,119672,61307,35273,36617,16330,78707,14834,28950,23378,54159,44450,46179,65151,11606,17944,64069,14810,21031,40982,77021,9487,18180,10603,66769,15258,62000,21874,37287,26600,30128,46938,13447,41871,18343,63651,32105,45166,40937,79574,19151,91400,11220,126000,18681,76257,21423,32873,28550,23401
9/16/2021,16000,17569,30719,27611,11180,12680,46626,27670,40744,49205,33510,17144,31509,18907,50393,27647,61100,28762,21346,55168,59426,65583,27132,26353,17707,17596,17797,65680,26250,29562,72497,16554,21825,50040,36159,26274,16566,38850,29139,17300,35295,37052,20568,65712,32025,57383,35290,30700,13499,19225,16951,123719,60815,35112,36961,17006,78707,14934,28750,23284,54225,44367,46270,65931,11606,18133,64198,15113,20945,40982,74701,9487,18308,10695,66769,15556,61200,21874,36939,26750,30384,47617,12919,43834,18534,64306,32335,45383,40020,77825,19178,87800,11250,126000,18401,76522,21791,32589,30000,23443
